rank,node,lat,lon,betweenness,betweenness_method
1,1477629854,50.9079472,5.6493637,0.1368685670769194,exact
2,1477629855,50.9083526,5.6497775,0.13610528278088696,exact
3,258897336,50.8953131,5.6436252,0.1347843297464313,exact
4,94128082,50.881568,5.6306472,0.12957754411572223,exact
5,3690396771,50.8796802,5.6293644,0.12953240705851557,exact
6,2319048318,50.9068341,5.6488078,0.12621709417303598,exact
7,36948739,50.8859359,5.6421157,0.12613237294790994,exact
8,240898196,50.8856453,5.6418335,0.12432324161811194,exact
9,297168317,50.8852694,5.6415121,0.12290915869760949,exact
10,1477744799,50.8852996,5.6412422,0.12267847581121763,exact
