city,o,d,planned_length_m,actual_length_m,length_delta_m,length_delta_pct,planned_friction_cost,actual_friction_cost,friction_savings_pct,overlap_pct,diverges_completely,planned_n_edges,actual_n_edges,great_circle_m,circuity
Lanaken,5373285524,4559179542,6629.119073550714,6662.26870603741,33.14963248669574,0.5000608997801574,10103.440082098801,8415.507769597409,16.70651083972931,75.0,False,103,84,4958.590532587591,1.3435811370697657
Lanaken,360826165,2341014746,1815.76034869967,1815.76034869967,0.0,0.0,2125.8524906007283,2125.8524906007283,0.0,100.0,False,27,27,1298.372633517823,1.3984893872724595
Lanaken,619568978,258891805,1651.262555605019,1651.262555605019,0.0,0.0,2212.103333706073,2212.103333706073,0.0,100.0,False,21,21,594.1318612984189,2.7792863220570956
Lanaken,3798531747,923014857,5021.259691586377,5021.259691586377,0.0,0.0,5327.699223310899,5327.699223310899,0.0,100.0,False,42,42,3935.5448269067083,1.2758740942948497
Lanaken,247742183,642886226,2970.948232230341,3249.340760614429,278.3925283840881,9.370494085489135,4685.974270831383,3844.01715139138,17.967600135598346,0.0,True,20,19,2559.8930643183776,1.2693267566157616
Lanaken,2204882102,3297729170,2562.5715225499343,2563.251382935299,0.6798603853644636,0.02653039649359546,3285.9576819491176,3285.636446634202,0.009776002797609547,91.30434782608695,False,23,23,1548.8540699898897,1.654934078426143
Lanaken,361146893,923018165,10201.01826001466,10716.213640382948,515.1953803682882,5.050430920094714,14311.573604312558,12332.297617443659,13.829897686949511,41.02564102564103,False,103,78,7402.6924506513205,1.4476102731297569
Lanaken,297167870,258898996,3171.2517081037004,3192.6857321046537,21.434024000953286,0.6758852962122675,4505.99300241946,4445.623314367926,1.3397643542526454,87.27272727272727,False,55,55,2657.112536111691,1.2015621049971403
Lanaken,2534660917,9986532098,2022.4033750360736,2032.876982603668,10.4736075675944,0.5178792567732726,2743.880938444855,2690.3302242424243,1.9516413213170105,90.47619047619048,False,43,42,1904.9703519544878,1.0671436332423487
Lanaken,258899029,923038574,4657.855974955469,4664.049890255952,6.193915300483241,0.1329778192753686,4937.857407720733,4929.351419697594,0.1722607058243412,97.72727272727273,False,46,44,3698.442771308149,1.2610847804483576
Lanaken,2510002225,8350544118,4585.794908269145,4650.112342209065,64.31743393992019,1.4025362064043128,5110.209564642045,4901.498500000557,4.084197761390774,58.69565217391305,False,46,49,2951.4348042995684,1.5755429648775945
Lanaken,258893404,12293960697,6292.0437667276765,6318.416197597751,26.372430870074822,0.41913934244278817,7828.480349985544,7787.614389612857,0.5220165159226954,89.65517241379311,False,29,31,4582.144426223396,1.3789212233114596
Lanaken,6051501238,923038625,3844.607620974799,3847.0515373171,2.443916342301236,0.06356738016561446,4339.916076059642,4335.559401904096,0.10038613833061863,87.5,False,25,24,2910.4128573260773,1.3218233033960527
Lanaken,620000692,2216215592,3398.3001673406034,3666.0850185279414,267.78485118733806,7.879964629401692,4734.371990394596,4471.784270957666,5.546410801045729,67.6470588235294,False,34,36,2352.497561945233,1.5583799438655015
Lanaken,191072771,1435420701,4536.375233137755,4988.838613227215,452.46338008946077,9.97411714939854,7699.206981967322,6509.024418153951,15.458508474976107,53.225806451612904,False,71,62,3850.812590374581,1.2955287997388456
Lanaken,12398353007,12527557369,4960.298709153172,5057.29251539941,96.99380624623791,1.9554025258046768,8352.982538343089,6510.046351379258,22.06321129613421,40.816326530612244,False,67,49,3279.1117098490827,1.542275153423232
Lanaken,3186375716,6067373400,3452.369145559437,3452.369145559437,0.0,0.0,4198.7889124606545,4198.7889124606545,0.0,100.0,False,33,33,2439.148056560996,1.4153995844053033
Lanaken,30976757,11907142581,5241.07974148066,5274.9426326091825,33.86289112852228,0.6461052454614181,6467.145118267933,6409.141150490578,0.8969022144486797,63.63636363636363,False,66,67,3818.8542087343894,1.3812893460411406
Lanaken,10215791777,9048324947,7732.867334900288,7914.675496146374,181.80816124608555,2.351109276445771,9523.50711746261,9426.37215901016,1.0199494498653834,69.44444444444444,False,36,36,6763.461191387794,1.1702108243371707
Lanaken,1435412676,4512778095,6342.737998617397,6379.70213356843,36.964134951032975,0.5827788402909042,9108.513225965788,8032.354887944857,11.814862769843801,77.10843373493977,False,90,83,4573.554628747242,1.3949111033830413
