cell_x,cell_y,mean_circuity,n_pairs
1374,11281,4.518440285192644,1
1373,11287,2.070457701415815,1
1370,11279,1.9555369471038004,1
1370,11284,1.9357877436092767,1
1374,11283,1.8062988736966048,2
1370,11278,1.7632974909844503,1
1374,11279,1.5962375176396983,1
1370,11280,1.5824561872522889,3
1378,11283,1.5566710096854786,1
1371,11274,1.5481852405335597,3
1369,11288,1.5382048112559836,1
1373,11281,1.5307570728594353,6
1376,11282,1.5300994168424675,1
1368,11280,1.5120557563331607,1
1367,11284,1.503585273862873,1
1367,11275,1.4934189698684026,1
1377,11281,1.4870770206453536,1
1365,11282,1.4772254825593711,1
1367,11285,1.4757455364983976,1
1373,11288,1.4728918263535526,3
1375,11288,1.4728319748262502,4
1371,11284,1.4591776100829426,1
1369,11290,1.451028244823608,1
1364,11283,1.4410521558950418,2
1369,11285,1.4153995844053033,1
1375,11281,1.408841740508019,2
1375,11280,1.4035582543579612,5
1371,11281,1.4030422564205327,1
1377,11289,1.400641689663025,3
1371,11285,1.39528602179048,1
1368,11292,1.395224228000742,1
1368,11275,1.3942334017386313,1
1367,11288,1.3893719211354212,1
1376,11281,1.3812893460411406,1
1372,11282,1.3755062518252608,3
1369,11277,1.372945007036128,2
1369,11275,1.3711754925357593,5
1368,11270,1.3654239661134766,1
1375,11285,1.3613471353201998,2
1370,11276,1.3528234000774113,3
1367,11290,1.3525309935541443,2
1374,11282,1.3520131858763398,3
1374,11287,1.3512494522261707,1
1374,11289,1.34442856238334,2
1369,11289,1.34195838354721,5
1369,11286,1.3416377174856777,5
1369,11287,1.3379309944880544,3
1366,11291,1.337912427707855,1
1370,11275,1.3356777034944995,2
1373,11283,1.3275560666758337,1
1372,11281,1.3264060014942045,7
1369,11283,1.325110666857131,1
1372,11283,1.31489816926044,3
1373,11284,1.3061985903465767,5
1375,11291,1.3049604519650684,2
1375,11283,1.3040719309329771,3
1370,11285,1.303619611048644,4
1376,11279,1.3029874403565729,1
1365,11281,1.299213441301079,3
1370,11277,1.2976395862168277,1
1366,11281,1.2967717181221687,1
1371,11280,1.2911790225109168,2
1373,11279,1.2903980475370886,2
1378,11288,1.2896727459523298,1
1376,11280,1.286445271522023,1
1369,11270,1.2852643927367033,2
1366,11279,1.2837968514748306,1
1367,11281,1.2834589457894892,2
1367,11283,1.2823672431594404,1
1371,11287,1.2782385501603073,1
1379,11290,1.2715294214318984,2
1371,11270,1.2693267566157616,1
1368,11288,1.2667053960217152,1
1367,11282,1.2648100718827038,1
1369,11281,1.261717830655604,2
1370,11273,1.2556827463279407,1
1377,11290,1.2528710199537219,1
1370,11282,1.2482012025047688,2
1372,11285,1.2479806894287653,2
1378,11289,1.2457133991511131,1
1366,11288,1.24267545704307,1
1379,11289,1.2402910996427678,3
1368,11289,1.2369836028422312,2
1368,11285,1.2356820694655555,3
1371,11290,1.2352302851087693,1
1378,11286,1.2337420339348442,1
1377,11288,1.2319590733659709,4
1369,11276,1.2305295497769753,3
1370,11287,1.2296495490957746,1
1380,11289,1.2245116371573201,1
1370,11283,1.2221222182430835,1
1370,11270,1.2100567934555349,1
1366,11280,1.2086979026688005,2
1373,11282,1.2072580901208447,3
1369,11279,1.2015621049971403,1
1365,11280,1.174304586968903,1
1376,11285,1.1678794163789998,1
1377,11284,1.16688629208022,2
1367,11286,1.1662610848199493,2
1376,11286,1.1591689964998495,1
1367,11278,1.1544690864488674,1
1367,11287,1.1512397256258653,1
1372,11286,1.1479665633975946,1
1377,11286,1.1280972845052628,4
1374,11284,1.074504253306786,1
1373,11286,1.0000467104139426,1
