u,v,key,osmid,lit,lanes,surface,name,ref,highway,maxspeed,oneway,reversed,length,grade,grade_abs,elevation_change,junction,sidewalk,access,bridge,service,incline,tactile_paving,smoothness,tunnel,width,est_width,footway
30642904,31345785,0,4784888,yes,2,asphalt,Maaseikersteenweg,N766,secondary,70,False,True,45.78126055451086,0.0,0.0,0.0,,,,,,,,,,,,
30642904,12685023946,0,4858489,,,asphalt,,,path,,False,False,4.793753327956378,0.0,0.0,0.0,,,,,,,,,,,,
30642904,30985304,0,4784888,yes,2,asphalt,Maaseikersteenweg,N766,secondary,70,False,False,171.77485745009443,0.02910786871968527,0.02910786871968527,5.0,,,,,,,,,,,,
30642904,31345782,0,4858489,,,asphalt,,,path,,False,True,17.512715246465344,0.0,0.0,0.0,,,,,,,,,,,,
30642908,619414150,0,4843682,,2,,Tournebride,N78,primary,,False,False,11.042590104389232,0.0,0.0,0.0,roundabout,,,,,,,,,,,
30642908,31772291,0,4888960,,1,asphalt,Maaseikersteenweg,N766,secondary,70,False,False,19.78909445507037,0.0,0.0,0.0,,,,,,,,,,,,
30642908,31194309,0,210416006,,2,,Tournebride,N78,primary,,False,True,17.589165097114876,0.0,0.0,0.0,roundabout,,,,,,,,,,,
30642917,2218317404,0,211896617,,,,Verbindingslaan,,residential,50,False,False,12.498783806879992,0.0,0.0,0.0,,,,,,,,,,,,
30642917,2218317321,0,1421358748,,3,asphalt,Staatsbaan,N78,primary,70,False,True,14.113354506827923,0.0,0.0,0.0,,,,,,,,,,,,
30642917,2218317367,0,48938369,,,,Delstraat,,residential,50,False,True,14.30970516052692,0.0,0.0,0.0,,,,,,,,,,,,
30642917,3756218232,0,372086694,,2,asphalt,Staatsbaan,N78,primary,70,False,False,17.31268170167923,0.0,0.0,0.0,,,,,,,,,,,,
30975745,13144711728,0,"[1429999034, 5075511]",yes,2,asphalt,Maasdijk,N77,tertiary,"['70', '50']",False,True,36.93176103250152,0.0,0.0,0.0,,"['no', 'both']",,,,,,,,,,
30975745,30976105,0,38882775,yes,2,asphalt,Brugstraat,N77,tertiary,50,False,False,127.53445734515581,0.02352305457246649,0.02352305457246649,3.0,,both,,,,,,,,,,
30975745,2216259000,0,211644826,yes,,asphalt,Maasdijk,,residential,30,False,False,312.48433426117003,0.012800641700831172,0.012800641700831172,4.0,,no,,,,,,,,,,
30976105,31129508,0,38882775,yes,2,asphalt,Brugstraat,N77,tertiary,50,False,False,9.286706021923402,0.0,0.0,0.0,,both,,,,,,,,,,
30976105,30976287,0,4841098,yes,,asphalt,Sapstraat,,residential,,False,False,241.7535799543061,0.004136443399055395,0.004136443399055395,1.0,,no,,,,,,,,,,
30976105,30975745,0,38882775,yes,2,asphalt,Brugstraat,N77,tertiary,50,False,True,127.53445734515581,-0.02352305457246649,0.02352305457246649,-3.0,,both,,,,,,,,,,
30976106,31129518,0,38882777,,2,asphalt,Brugstraat,N77,tertiary,50,False,False,14.987096909213545,0.0,0.0,0.0,,both,,,,,,,,,,
30976106,31129552,0,4821492,,,asphalt,Kanaaldijk,,unclassified,,False,False,50.02429108032692,0.0,0.0,0.0,,,destination,,,,,,,,,
30976106,31075624,0,"[4832213, 4832214, 38882775]",yes,2,asphalt,Brugstraat,N77,tertiary,50,False,True,76.46395703643991,0.0,0.0,0.0,,both,,yes,,,,,,,,
30976287,31161239,0,4820329,yes,,asphalt,Sapstraat,,residential,,False,False,17.292337464192787,0.0,0.0,0.0,,no,,,,,,,,,,
30976287,2216259000,0,4841098,yes,,asphalt,Sapstraat,,residential,,False,False,33.1525542606502,0.0,0.0,0.0,,no,,,,,,,,,,
30976287,30976105,0,4841098,yes,,asphalt,Sapstraat,,residential,,False,True,241.7535799543061,-0.004136443399055395,0.004136443399055395,-1.0,,no,,,,,,,,,,
30976750,31129552,0,4821492,,,asphalt,Kanaaldijk,,unclassified,,False,True,60.481664044628346,0.0,0.0,0.0,,,destination,,,,,,,,,
30976750,1690266673,0,4887220,,,asphalt,Kluisstraat,,residential,,False,False,102.46663727188471,0.07807419285921154,0.07807419285921154,8.0,,,,,,,,,,,,
30976750,30985238,0,"[8465529, 4821494]",,,asphalt,Kanaaldijk,,unclassified,,False,False,218.0087504252732,0.018347887376984343,0.018347887376984343,4.0,,,,,,,,,,,,
30976752,30976753,0,4887218,,,asphalt,Bauduinplein,,unclassified,,False,False,46.34207353899761,0.0,0.0,0.0,,,,,,,,,,,,
30976752,30976866,0,4887218,,,asphalt,Bauduinplein,,unclassified,,False,True,37.05714818938548,0.0,0.0,0.0,,,,,,,,,,,,
30976752,1690266682,0,8154471,,,paving_stones,Bauduinplein,,residential,,False,True,75.16040369875553,0.0,0.0,0.0,,,,,,,,,,,,
30976753,30976754,0,4887219,,,asphalt,Bauduinplein,,residential,,False,False,58.58591744234623,0.0,0.0,0.0,,,,,,,,,,,,
30976753,30976865,0,4887218,,,asphalt,Bauduinplein,,unclassified,,False,False,44.113878920224934,0.0,0.0,0.0,,,,,,,,,,,,
30976753,30976752,0,4887218,,,asphalt,Bauduinplein,,unclassified,,False,True,46.34207353899761,0.0,0.0,0.0,,,,,,,,,,,,
30976754,30976753,0,4887219,,,asphalt,Bauduinplein,,residential,,False,True,58.58591744234623,0.0,0.0,0.0,,,,,,,,,,,,
30976754,31725688,0,8154470,,,asphalt,Oude Heirbaan,,residential,,False,False,53.17772655632456,0.0,0.0,0.0,,,,,,,,,,,,
30976754,30976755,0,4887223,,,asphalt,Schippersstraat,,residential,,False,False,44.74862739771085,-0.0893882166362185,0.0893882166362185,-4.0,,,,,,,,,,,,
30976754,1690266685,0,8154470,,,asphalt,Oude Heirbaan,,residential,,False,True,95.18185619526912,0.0,0.0,0.0,,,,,,,,,,,,
30976755,30985238,0,4887223,,,asphalt,Schippersstraat,,residential,,False,False,79.34081756424735,0.0,0.0,0.0,,,,,,,,,,,,
30976755,3785155277,0,4877857,,,compacted,,,path,,False,True,70.09787908262292,0.04279730056402936,0.04279730056402936,3.0,,,,,,,,,,,,
30976755,30976754,0,4887223,,,asphalt,Schippersstraat,,residential,,False,True,44.74862739771085,0.0893882166362185,0.0893882166362185,4.0,,,,,,,,,,,,
30976756,31725714,0,4887224,,,asphalt,Smeermaasstraat,,residential,,False,False,47.747463228219786,0.0,0.0,0.0,,,,,,,,,,,,
30976756,12531587830,0,4887217,,,asphalt,Oude Heirbaan,,residential,,False,True,100.34650031434268,0.0,0.0,0.0,,,,,,,,,,,,
30976756,30976757,0,8154470,,,asphalt,Oude Heirbaan,,residential,,False,False,112.96983004487693,0.0,0.0,0.0,,,,,,,,,,,,
30976756,31725688,0,8154470,,,asphalt,Oude Heirbaan,,residential,,False,True,96.00962413435752,0.010415622485935189,0.010415622485935189,1.0,,,,,,,,,,,,
30976757,30985241,0,8154470,,,asphalt,Oude Heirbaan,,residential,,False,False,88.88461823971909,0.0,0.0,0.0,,,,,,,,,,,,
30976757,12531587830,0,4887217,,,asphalt,Oude Heirbaan,,residential,,False,False,50.27189423933612,0.0,0.0,0.0,,,,,,,,,,,,
30976757,30976756,0,8154470,,,asphalt,Oude Heirbaan,,residential,,False,True,112.96983004487693,0.0,0.0,0.0,,,,,,,,,,,,
30976865,2216215530,0,266245126,,2,asphalt,Maaseikersteenweg,N766,secondary,50,False,True,7.884233159884445,0.0,0.0,0.0,,,,,,,,,,,,
30976865,30976753,0,4887218,,,asphalt,Bauduinplein,,unclassified,,False,True,44.113878920224934,0.0,0.0,0.0,,,,,,,,,,,,
30976865,30976866,0,266245126,,2,asphalt,Maaseikersteenweg,N766,secondary,50,False,False,42.48320886852287,0.0,0.0,0.0,,,,,,,,,,,,
30976866,30976752,0,4887218,,,asphalt,Bauduinplein,,unclassified,,False,False,37.05714818938548,0.0,0.0,0.0,,,,,,,,,,,,
30976866,31087057,0,"[509492316, 266245126]",,2,asphalt,Maaseikersteenweg,N766,secondary,"['30', '50']",False,False,143.08110169875044,0.0,0.0,0.0,,,,,,,,,,,,
30976866,30976865,0,266245126,,2,asphalt,Maaseikersteenweg,N766,secondary,50,False,True,42.48320886852287,0.0,0.0,0.0,,,,,,,,,,,,
30985235,31129518,0,38882777,,2,asphalt,Brugstraat,N77,tertiary,50,False,True,75.83321607586625,-0.07912100146191066,0.07912100146191066,-6.0,,both,,,,,,,,,,
30985235,30985301,0,1328638262,,2,asphalt,Brugstraat,N77,tertiary,50,False,False,12.688834839679696,0.0,0.0,0.0,,both,,,,,,,,,,
30985236,3785155178,0,26927711,,3,asphalt,Maaseikersteenweg,N766,secondary,50,False,False,17.91055653145943,0.0,0.0,0.0,,,,,,,,,,,,
30985236,3785155181,0,79811919,,3,asphalt,Maaseikersteenweg,N766,secondary,50,False,True,17.320238152233674,0.0,0.0,0.0,,,,,,,,,,,,
30985236,30985300,0,275379829,,2,asphalt,Brugstraat,N77,tertiary,50,False,True,30.502584038275472,0.0,0.0,0.0,,,,,,,,,,,,
30985236,12293441765,0,"[746958300, 746958301]",,2,asphalt,Maastrichterweg,N77,secondary,"['30', '50']",False,False,96.08008211783977,0.020815968886736078,0.020815968886736078,2.0,,,,,,,,,,,,
30985238,31512984,0,4821495,,,asphalt,Kanaaldijk,,unclassified,,False,False,49.25719659672189,0.0,0.0,0.0,,,,,,,,,,,,
30985238,30976755,0,4887223,,,asphalt,Schippersstraat,,residential,,False,True,79.34081756424735,0.0,0.0,0.0,,,,,,,,,,,,
30985238,30976750,0,"[8465529, 4821494]",,,asphalt,Kanaaldijk,,unclassified,,False,True,218.00875042527323,-0.01834788737698434,0.01834788737698434,-4.0,,,,,,,,,,,,
30985240,30985241,0,4821307,,,asphalt,Kersenweidestraat,,residential,,False,False,193.31171357442102,0.010345984539783417,0.010345984539783417,2.0,,,,,,,,,,,,
30985240,3269182324,0,4821495,,,asphalt,Kanaaldijk,,unclassified,,False,False,400.9962178913745,-0.00997515642674604,0.00997515642674604,-4.0,,,,,,,,,,,,
30985240,31345789,0,4821495,,,asphalt,Kanaaldijk,,unclassified,,False,True,169.40859405569583,0.0,0.0,0.0,,,,,,,,,,,,
30985241,30985240,0,4821307,,,asphalt,Kersenweidestraat,,residential,,False,True,193.31171357442102,-0.010345984539783417,0.010345984539783417,-2.0,,,,,,,,,,,,
30985241,30985242,0,8154470,,,asphalt,Oude Heirbaan,,residential,,False,False,30.394845362398907,0.0,0.0,0.0,,,,,,,,,,,,
