osmid,y,x,highway,street_count,elevation
30642904,50.8902809,5.6739039,crossing,4,51.0
30642908,50.8968149,5.6741211,,3,54.0
30642917,50.9057658,5.6796969,,4,46.0
30975745,50.88083,5.6781282,,3,45.0
30976105,50.8814917,5.6766498,,3,48.0
30976106,50.8818552,5.6753646,,3,48.0
30976287,50.8834771,5.6779975,,3,49.0
30976750,50.8828215,5.6756689,,3,48.0
30976752,50.8846494,5.6739185,,3,56.0
30976753,50.8850288,5.6740365,,3,56.0
30976754,50.8850081,5.674871,,4,56.0
30976755,50.8849261,5.6754897,,3,52.0
30976756,50.8863428,5.6750316,,4,55.0
30976757,50.8873091,5.6755258,,3,55.0
30976865,50.885045,5.6734082,,3,56.0
30976866,50.8846631,5.6733907,,3,56.0
30985235,50.8821516,5.6741584,,3,54.0
30985236,50.882433,5.6732793,,4,54.0
30985238,50.8846953,5.6765599,,3,52.0
30985240,50.8873751,5.6784562,,3,53.0
30985241,50.8880671,5.6759281,,3,55.0
30985242,50.888325,5.6760717,,3,55.0
30985245,50.8891569,5.671693,,3,55.0
30985248,50.8894136,5.6703892,,1,57.0
30985249,50.8883293,5.671165,,3,55.0
30985251,50.8888217,5.6696073,,3,57.0
30985254,50.8880911,5.6687694,,3,57.0
30985255,50.8871754,5.6680747,,3,59.0
30985256,50.8868196,5.6691539,,3,58.0
30985260,50.887497,5.6716098,,3,58.0
30985266,50.8866259,5.6720054,,3,58.0
30985282,50.8855995,5.6695933,,3,58.0
30985287,50.8859706,5.6693689,,3,58.0
30985289,50.8859554,5.669213,,3,58.0
30985291,50.8855685,5.6692694,,3,58.0
30985292,50.8850897,5.6685815,,3,59.0
30985295,50.883996,5.6679271,,3,59.0
30985300,50.8823254,5.6736784,,3,54.0
30985301,50.8822061,5.6739995,,3,54.0
30985302,50.8823411,5.6741296,,3,54.0
30985303,50.8885386,5.6736519,,3,56.0
30985304,50.8887445,5.6736645,,3,56.0
31028072,50.8845296,5.6666384,,3,61.0
31028082,50.8961633,5.6703366,,4,50.0
31028083,50.8963458,5.6703688,,3,50.0
31075598,50.8890591,5.6822366,,3,42.0
31075600,50.8897118,5.6831739,,1,49.0
31075602,50.8897104,5.6820211,,3,49.0
31075624,50.8815914,5.676371,,3,48.0
31087057,50.8833777,5.6733458,,3,56.0
31087059,50.8834232,5.6721378,,3,55.0
31129506,50.8813234,5.6763055,,3,48.0
31129508,50.8815335,5.6765352,,3,48.0
31129518,50.8819034,5.6751651,,3,48.0
31129520,50.8814859,5.675288,,3,48.0
31129532,50.8828377,5.6759328,,3,48.0
31129552,50.8822848,5.6755642,,3,48.0
31150456,50.9013925,5.6912619,,3,44.0
31150489,50.9096561,5.6965501,,3,48.0
31150498,50.9090853,5.6957356,,1,43.0
31152616,50.9018541,5.6836311,,3,49.0
31152625,50.9082692,5.6907941,,3,46.0
31152627,50.9088142,5.6913105,,3,45.0
31152635,50.9089371,5.6904163,,3,45.0
31152646,50.9103238,5.692888,,3,44.0
31152648,50.9104721,5.692653,,3,41.0
31152649,50.9104916,5.6920738,,4,41.0
31161239,50.8836032,5.6778703,,1,49.0
31161242,50.9026075,5.6834356,,4,46.0
31194309,50.8968127,5.6738797,,3,54.0
31194310,50.8969176,5.6737463,,3,54.0
31194312,50.8971125,5.6740823,,3,54.0
31260432,50.8829129,5.6696025,,3,54.0
31262512,50.8828579,5.6686677,,4,54.0
31262513,50.8836764,5.6684081,,3,59.0
31262514,50.8828668,5.6670785,,1,54.0
31345735,50.8800696,5.6478198,,3,67.0
31345758,50.8887227,5.6606832,,3,55.0
31345766,50.8938359,5.6749509,,3,52.0
31345771,50.8911372,5.666894,,3,53.0
31345775,50.8899788,5.6683689,,3,53.0
31345776,50.8912056,5.6707789,,3,52.0
31345778,50.8906629,5.6717281,,3,53.0
31345780,50.8903509,5.6731377,,3,51.0
31345781,50.8908089,5.6718603,,3,53.0
31345782,50.8903067,5.6736576,,3,51.0
31345784,50.8907562,5.6738004,,3,51.0
31345785,50.8906846,5.6740321,,3,51.0
31345787,50.886323,5.6762119,,3,55.0
31345788,50.8872979,5.6769915,,1,55.0
31345789,50.8860125,5.6773775,,3,53.0
31345791,50.8890163,5.6666175,,1,56.0
31386823,50.8919115,5.6744861,,3,51.0
31512984,50.885111,5.6768025,,3,52.0
31723358,50.8653282,5.6405394,,3,57.0
31723361,50.8663401,5.6402797,,3,57.0
31723366,50.8739473,5.6430395,,3,54.0
31723383,50.8839674,5.6540275,,3,64.0
31723385,50.8838971,5.6541211,,3,64.0
31723391,50.8845951,5.6546336,,1,59.0
31723392,50.8937988,5.6751852,,3,52.0
31723403,50.8975933,5.6774623,,3,49.0
31723462,50.8892357,5.6630876,,3,55.0
31723463,50.8886535,5.6620387,,3,55.0
31723465,50.8871559,5.6593817,,3,62.0
31723468,50.8849066,5.6659424,,4,61.0
31723483,50.8978918,5.6767676,,3,52.0
31723589,50.885656,5.6550769,,4,62.0
31723600,50.8872361,5.6575092,,3,60.0
31723657,50.9010774,5.682998,,3,51.0
31725688,50.885486,5.6748995,,3,56.0
31725693,50.8854893,5.6761745,,3,55.0
31725697,50.8861056,5.6767148,,3,55.0
31725709,50.8869098,5.6760921,,1,55.0
31725714,50.8863309,5.675712,,3,55.0
31772291,50.8967142,5.6743497,,5,54.0
34568779,50.863097,5.6379178,,3,51.0
34568784,50.8608431,5.6371044,,3,77.0
34568789,50.8596431,5.6372363,,3,78.0
34568790,50.8596552,5.6374175,,3,78.0
34568791,50.8593878,5.6399782,,5,74.0
34574681,50.8811342,5.6317706,,3,56.0
34574702,50.8830988,5.6369135,,3,72.0
34574721,50.8819986,5.6479835,,3,62.0
34575178,50.8789939,5.6419438,,3,52.0
34813465,50.87442,5.6438588,,3,61.0
34813466,50.8530972,5.6386988,,3,53.0
34813477,50.854026,5.6394207,,3,53.0
35344796,50.837548,5.6339982,,3,90.0
35344797,50.8392654,5.631668,,3,90.0
35344798,50.841078,5.6297692,,3,85.0
35344803,50.8458053,5.6354323,,3,55.0
35344806,50.8515708,5.6361228,,3,57.0
35344810,50.8595065,5.6371688,,1,78.0
35969326,50.8365686,5.6276999,,3,91.0
35969328,50.8376968,5.6273401,,3,89.0
35969330,50.8373981,5.6298938,,3,89.0
35969331,50.8374703,5.6302368,,1,89.0
35969332,50.8382517,5.6292731,,3,90.0
35969333,50.8387032,5.6304626,,3,90.0
35969335,50.8382842,5.6306182,,1,90.0
35969336,50.8378702,5.6277851,,3,89.0
35969337,50.8370705,5.6255062,,3,93.0
35969340,50.8396336,5.6262301,,3,89.0
35969341,50.8416301,5.6288881,,3,85.0
35969347,50.8478675,5.6252984,,3,75.0
35969348,50.8474963,5.6253087,,3,75.0
35969361,50.8572787,5.6251261,,3,78.0
35969362,50.8567791,5.6238028,,3,77.0
35969365,50.8551396,5.6210461,,3,81.0
35969367,50.853306,5.6252013,,4,84.0
35969369,50.8534162,5.6294554,,3,85.0
35969375,50.8602069,5.6299706,,3,77.0
35969377,50.8607388,5.6295151,,4,74.0
35969379,50.8601665,5.6288168,,3,76.0
35969380,50.8588857,5.6278355,,3,76.0
35969384,50.8597437,5.625088,,3,75.0
35969385,50.8430983,5.63569,,3,55.0
35969386,50.8417113,5.6358466,,3,55.0
35969387,50.8415198,5.6343815,,3,89.0
35969394,50.8409749,5.6298971,,3,85.0
35969699,50.847704,5.6315753,,4,74.0
35969705,50.8601419,5.6251459,,3,75.0
35969706,50.8602918,5.6252736,,3,75.0
35969709,50.8602302,5.6248885,,3,73.0
35969916,50.860192,5.631938,,3,79.0
35969917,50.8599588,5.6341695,,3,78.0
35969919,50.8598784,5.6349522,,4,78.0
35969948,50.8596974,5.6366074,,3,78.0
35974346,50.8394272,5.6254648,,3,92.0
35974353,50.8444176,5.6318541,,3,78.0
36948552,50.9335383,5.7117712,,3,39.0
36948562,50.9241954,5.7074594,,3,43.0
36948568,50.9236098,5.7068098,,4,43.0
36948579,50.9091036,5.6897976,,3,45.0
36948585,50.9092446,5.6891237,,3,44.0
36948586,50.90901,5.6877692,,3,44.0
36948590,50.90792,5.6871824,,3,48.0
36948592,50.9050188,5.68685,,3,45.0
36948596,50.9047533,5.6864701,,3,45.0
36948612,50.9084212,5.6855394,,3,45.0
36948614,50.9085051,5.6848602,,4,45.0
36948620,50.9043416,5.6837619,,3,47.0
36948625,50.9048787,5.681393,,3,48.0
36948626,50.9042032,5.6806548,,3,46.0
36948629,50.9043822,5.680237,,3,46.0
36948630,50.9026789,5.679597,,3,50.0
36948632,50.9029096,5.6786146,,4,50.0
36948697,50.8961914,5.6612907,,4,52.0
36948701,50.8923288,5.6565218,,3,55.0
36948704,50.8925515,5.6560071,,3,56.0
36948706,50.8922035,5.6563903,,3,55.0
36948709,50.8916289,5.6562372,,4,61.0
36948719,50.8900372,5.6508891,,3,63.0
36948728,50.8892778,5.6515643,,3,66.0
36948730,50.8874259,5.6478995,,3,68.0
36948739,50.8859359,5.6421157,traffic_signals,4,67.0
36948749,50.8914872,5.6339679,,3,66.0
36948752,50.8914039,5.6336495,,3,66.0
36948753,50.8894341,5.6270103,,3,72.0
36948755,50.8868467,5.6281546,,3,71.0
36948761,50.8862168,5.6288717,,4,71.0
36948764,50.8858365,5.6291711,,1,71.0
36948766,50.886988,5.6234095,,3,69.0
36948770,50.8878625,5.6236557,,3,72.0
36948772,50.888433,5.6230181,,4,72.0
36948778,50.8840464,5.6166896,,3,72.0
36948782,50.8832696,5.6173369,,3,71.0
36948807,50.8750669,5.6356605,,3,70.0
36948817,50.8677849,5.630588,,4,77.0
76472212,50.8605498,5.6126985,,3,75.0
76472215,50.8602943,5.6229864,,4,73.0
94101812,50.8965387,5.6730292,,3,54.0
94101817,50.8964004,5.6726758,,3,53.0
94101818,50.8963004,5.6727169,,3,53.0
94101820,50.8962306,5.6728779,,3,53.0
94101824,50.8964293,5.6731805,,3,54.0
94101852,50.8850624,5.6414865,,4,68.0
94101859,50.8824629,5.6343845,,3,71.0
94101878,50.8693949,5.6248998,,3,81.0
94101885,50.8628208,5.6250266,,3,70.0
94101886,50.8607392,5.6250621,,4,71.0
94101891,50.886147,5.6489684,,3,67.0
94128064,50.884814,5.640184,,3,68.0
94128082,50.881568,5.6306472,,3,71.0
94156093,50.8842917,5.6384319,,3,69.0
94156095,50.8833587,5.6365742,,3,65.0
112183153,50.9264777,5.6873655,,3,44.0
189178108,50.8901548,5.6615941,,4,52.0
189178146,50.8962535,5.647705,,3,65.0
189178153,50.8970236,5.6462658,,3,65.0
189178198,50.9048648,5.6288417,,3,79.0
189178207,50.9126262,5.6168628,,3,107.0
189178221,50.9191579,5.609424,,3,95.0
190197476,50.8818092,5.631158,,3,71.0
191072762,50.8910531,5.654685,,3,61.0
191072765,50.8906643,5.6538004,crossing,4,61.0
191072771,50.8896983,5.6521457,,4,61.0
191072779,50.8901631,5.6513205,,3,63.0
191072795,50.9057169,5.6802534,,3,46.0
191072799,50.9058217,5.6805166,,3,46.0
191072828,50.9086921,5.6827804,,3,44.0
191072834,50.9094444,5.6850829,,3,45.0
191072854,50.9145835,5.6855181,,3,44.0
191072868,50.918697,5.6850437,,4,43.0
191072871,50.9188555,5.6871067,,3,44.0
191072897,50.9234688,5.6885618,,4,43.0
191072901,50.9088574,5.68084,,4,47.0
191072903,50.9188592,5.6845131,,3,45.0
193292114,50.8901181,5.6617862,,4,52.0
193292119,50.8895394,5.6607589,,4,55.0
193292122,50.8896312,5.6606721,,4,52.0
193292155,50.87002,5.6249579,,4,81.0
207652841,50.8961568,5.6751297,,4,52.0
207662711,50.9232524,5.6900523,,3,41.0
207662714,50.9226096,5.6945333,,3,43.0
207662721,50.9213846,5.704023,,3,44.0
240889544,50.9275945,5.6876917,,3,41.0
240889550,50.9279989,5.6845855,,3,44.0
240889587,50.9254052,5.6628454,,5,48.0
240889590,50.9249218,5.6610722,,3,56.0
240889618,50.9270839,5.6370152,,3,64.0
240889636,50.926148,5.6209905,crossing,3,101.0
240889640,50.9248762,5.6189758,,4,105.0
240893510,50.9044871,5.6289719,,3,79.0
240893519,50.9008529,5.6337884,,3,65.0
