rank,node,lat,lon,betweenness,betweenness_method
1,618628852,50.8518971,5.6970938,0.2813712412028151,"k-sample (k=500, seed=42)"
2,41976873,50.8518005,5.6947868,0.2813579654510557,"k-sample (k=500, seed=42)"
3,12827792804,50.8518866,5.6968341,0.2813546065259117,"k-sample (k=500, seed=42)"
4,6753392759,50.849838,5.6775313,0.20019977607165707,"k-sample (k=500, seed=42)"
5,6753379948,50.8494212,5.6767772,0.19951695457453614,"k-sample (k=500, seed=42)"
6,2669257845,50.8495167,5.6770663,0.19658541266794627,"k-sample (k=500, seed=42)"
7,41973822,50.8496853,5.6853521,0.19553582853486884,"k-sample (k=500, seed=42)"
8,41973733,50.849613,5.6848528,0.19551535508637236,"k-sample (k=500, seed=42)"
9,41977055,50.8519259,5.6979066,0.19447568777991042,"k-sample (k=500, seed=42)"
10,41973766,50.8496206,5.6838035,0.19394081893793985,"k-sample (k=500, seed=42)"
