cell_x,cell_y,mean_circuity,n_pairs
1382,11266,2.7954012121152556,1
1383,11269,2.7075293776633536,1
1383,11274,2.1573435528557274,1
1383,11268,1.9025399975966975,1
1379,11271,1.852947634990952,4
1384,11279,1.8346276987133512,1
1380,11271,1.8294697929359833,2
1379,11274,1.7882874911602802,3
1383,11272,1.7833143422737026,1
1377,11269,1.7780477210205703,3
1378,11277,1.7747689196929533,1
1379,11276,1.7666262686240881,1
1379,11284,1.7065523108206144,2
1373,11270,1.6544159454520981,2
1383,11266,1.6530742680915327,1
1381,11270,1.6418963993577584,1
1378,11270,1.6321526617267714,3
1384,11266,1.6105671342233854,1
1382,11277,1.6094460087876972,1
1381,11276,1.5945727948397017,1
1375,11270,1.5843746283885114,1
1376,11276,1.580760238195621,1
1375,11272,1.5785642921904346,2
1381,11277,1.5719708253722169,4
1372,11271,1.5652683439766548,1
1379,11273,1.5582479610358133,3
1384,11273,1.5572826153266615,3
1382,11275,1.5372038038483284,2
1374,11270,1.534402907338546,3
1382,11269,1.5283889519515304,2
1377,11274,1.5190225319173447,2
1378,11272,1.5152798424774345,2
1382,11271,1.5121870764936127,4
1379,11283,1.509571343334425,1
1380,11268,1.5031811243030067,1
1376,11271,1.4909349042556197,5
1374,11273,1.4872367633063832,2
1374,11275,1.4784500430554315,3
1386,11271,1.4463323477417929,1
1380,11275,1.4360834303698022,3
1376,11274,1.4312328455341052,1
1378,11265,1.4304499018460526,1
1384,11267,1.4300312642121435,2
1378,11274,1.4247883171865932,1
1384,11271,1.41224536633365,5
1377,11273,1.4108736529000063,3
1380,11273,1.4094997221782406,1
1378,11271,1.402031084687649,4
1384,11270,1.3958574891749822,2
1382,11270,1.3948605551147597,3
1381,11266,1.3908809169762073,3
1383,11270,1.385632631295799,3
1377,11272,1.3834795388735885,3
1383,11271,1.379794758678545,2
1384,11275,1.3736059682021087,1
1375,11271,1.3728133654444947,3
1381,11273,1.3623812253388001,2
1372,11272,1.3454306246315726,2
1377,11271,1.3444283945816513,4
1380,11269,1.3432922435594226,1
1373,11276,1.343275769242428,3
1380,11272,1.342391848981558,3
1378,11276,1.3393473947920698,2
1382,11280,1.3315342775127763,1
1375,11274,1.3314866584066756,6
1374,11276,1.3240773618430297,1
1372,11274,1.3238746314014984,1
1377,11264,1.3238530587932789,1
1381,11271,1.3155520520327246,4
1373,11271,1.3141082831899193,3
1374,11271,1.313820415329101,5
1385,11278,1.3102563407138992,1
1382,11268,1.3034364773622653,1
1384,11268,1.2991643535611486,1
1373,11275,1.297035057538827,2
1382,11272,1.2913613886915296,1
1383,11273,1.287979154788943,2
1383,11275,1.2867084382130098,3
1376,11272,1.2733486291722096,3
1379,11272,1.2733387543243142,2
1376,11275,1.2660803770625897,2
1382,11273,1.2607471658865015,1
1372,11270,1.2569788422448136,2
1381,11267,1.256900530133354,3
1383,11277,1.2536182574387322,1
1380,11270,1.253606276283088,1
1384,11276,1.25153442587944,1
1385,11277,1.2510449136279966,2
1381,11272,1.2494639387866375,1
1372,11275,1.2486091025609276,1
1375,11265,1.2343752530560845,1
1373,11269,1.2310875161152695,1
1372,11276,1.2260000634939194,1
1376,11273,1.2160388338195862,1
1381,11265,1.2106094255486537,1
1374,11274,1.2086460509777943,4
1376,11268,1.1936964254991203,1
1375,11273,1.1710780122512483,1
1377,11270,1.1658183387914551,1
1379,11270,1.1606961188330176,1
1374,11272,1.1107410183692066,1
