osmid,y,x,street_count,elevation,highway,ref
2297990,50.8282979,5.7292407,3,63.0,,
30124657,50.8165777,5.6675817,3,60.0,,
30160924,50.835243,5.734763,4,63.0,,
30428938,50.841372,5.7330693,3,60.0,,
30428943,50.8391719,5.7338901,3,61.0,,
30428945,50.839947,5.7338591,3,61.0,,
31011812,50.8556709,5.6935036,3,49.0,,
31012528,50.8493611,5.6943133,3,50.0,,
31077966,50.8558761,5.6920715,3,49.0,,
31089185,50.8351985,5.7283269,3,62.0,,
31089226,50.8350324,5.7298508,4,66.0,,
31092488,50.8640674,5.7301213,3,51.0,,
31092737,50.849294,5.7310289,3,54.0,,
31092739,50.8490757,5.7281603,4,53.0,,
31093323,50.8403637,5.7092499,1,49.0,,
31093520,50.8369716,5.7127768,1,52.0,,
31129440,50.878256,5.6778426,1,47.0,,
31129479,50.8783712,5.67806,3,47.0,,
31129550,50.8782631,5.6778849,3,47.0,,
31129814,50.8468233,5.6981103,3,52.0,,
31129823,50.837133,5.7028334,3,47.0,,
31129828,50.8429269,5.7020453,3,49.0,,
31130316,50.8460293,5.695233,1,51.0,,
31130515,50.8518202,5.6973885,3,45.0,,
31216599,50.8622695,5.687702,3,51.0,,
31216629,50.8657368,5.686264,3,45.0,,
31216658,50.8587797,5.690101,3,46.0,,
31262515,50.8814344,5.6693007,3,54.0,,
31425176,50.8437427,5.6891467,3,50.0,,
31425177,50.8437295,5.6889418,3,50.0,,
31505678,50.8547762,5.6639957,4,69.0,,
31512094,50.8450304,5.6896084,3,50.0,,
31512283,50.8685611,5.685222,3,43.0,,
31512288,50.8698131,5.6835035,3,45.0,,
31576581,50.861296,5.6629498,4,64.0,,
31576582,50.8614349,5.6628826,3,64.0,,
31793746,50.8671745,5.6858641,3,43.0,,
41932243,50.8108931,5.7147913,3,50.0,,
41932307,50.8109473,5.7165595,3,50.0,,
41933765,50.8134605,5.7081366,5,49.0,,
41934469,50.8144249,5.7193778,3,54.0,,
41934473,50.8144392,5.7122938,3,48.0,,
41934516,50.8145096,5.7193584,4,54.0,,
41934635,50.8146613,5.7207137,3,53.0,,
41934775,50.8155878,5.7192709,3,53.0,,
41935034,50.8150107,5.722721,3,56.0,,
41935043,50.8150748,5.707365,3,47.0,,
41937236,50.8170406,5.7276813,3,56.0,,
41937253,50.8171003,5.7275297,3,56.0,,
41937306,50.8171673,5.7279273,3,56.0,,
41937420,50.8172409,5.7275172,3,56.0,,
41937466,50.8172556,5.7278884,3,56.0,,
41937487,50.8172822,5.7066312,3,49.0,,
41937500,50.8173123,5.7277445,3,56.0,,
41938316,50.8179602,5.7188833,3,50.0,,
41938392,50.8181249,5.6683925,3,72.0,,
41938691,50.8184837,5.7260444,3,54.0,,
41939094,50.8186727,5.6956429,3,49.0,,
41939227,50.8191903,5.6669304,3,63.0,,
41939232,50.8191717,5.7287312,3,57.0,,
41939487,50.8194708,5.7085898,4,48.0,,
41939571,50.8195661,5.7092436,3,48.0,,
41939598,50.8202389,5.665838,3,100.0,,
41939718,50.81983,5.72302,3,56.0,,
41939980,50.8200797,5.7050173,3,48.0,,
41939991,50.8199686,5.7182195,3,48.0,,
41940024,50.8201899,5.708368,4,48.0,,
41940032,50.8200927,5.7278347,3,57.0,,
41940068,50.8202199,5.7049358,3,48.0,,
41940077,50.8202371,5.7072745,3,48.0,,
41940096,50.8203,5.72346,3,56.0,,
41940117,50.8202246,5.7223368,3,58.0,,
41940140,50.8203399,5.7056194,3,48.0,,
41940198,50.82045,5.70931,3,48.0,,
41940200,50.82045,5.72318,3,56.0,,
41940222,50.8205,5.72771,1,57.0,,
41940252,50.8205333,5.7004272,4,46.0,,
41940302,50.8205989,5.6963924,3,51.0,,
41940310,50.82063,5.72275,3,58.0,,
41940373,50.82072,5.71052,3,48.0,,
41940383,50.8207137,5.70548,3,48.0,,
41940398,50.8207374,5.7150045,3,46.0,,
41940401,50.8207502,5.7224722,3,58.0,,
41940424,50.8208224,5.7062494,3,48.0,,
41940430,50.8207532,5.7139765,3,47.0,,
41940472,50.82086,5.72281,3,59.0,,
41940481,50.8209006,5.7266572,3,62.0,,
