rank,node,lat,lon,betweenness,betweenness_method
1,10024023734,41.1875398,-8.6928038,0.17421237194641448,"k-sample (k=500, seed=42)"
2,10024040948,41.1901057,-8.6958593,0.174180719726819,"k-sample (k=500, seed=42)"
3,10582667721,41.1875288,-8.6928387,0.1723519831888626,"k-sample (k=500, seed=42)"
4,12147682315,41.1863079,-8.6601774,0.16609968479117415,"k-sample (k=500, seed=42)"
5,12147682312,41.1863126,-8.6600337,0.1568926976622012,"k-sample (k=500, seed=42)"
6,11455375513,41.1874754,-8.6929015,0.15440583136327818,"k-sample (k=500, seed=42)"
7,4606429789,41.1881237,-8.6506942,0.15200735487260308,"k-sample (k=500, seed=42)"
8,4606429791,41.1880564,-8.6506205,0.15200682952456002,"k-sample (k=500, seed=42)"
9,3224263972,41.1876245,-8.6545934,0.15121591804570528,"k-sample (k=500, seed=42)"
10,3224254519,41.1881975,-8.6496006,0.14890175991594432,"k-sample (k=500, seed=42)"
