cell_x,cell_y,mean_circuity,n_pairs
1053,9122,3.157913922741666,1
1051,9122,2.729684022667237,1
1054,9128,1.777474105253859,1
1052,9121,1.7152466599418699,3
1059,9120,1.607877990999527,2
1052,9125,1.58098238851812,1
1053,9121,1.5644109371036123,1
1050,9120,1.5343748758839333,2
1061,9123,1.516678805910384,1
1051,9134,1.5085254172845297,1
1056,9121,1.4955265957193395,1
1055,9121,1.4831874812082693,1
1054,9123,1.4671265553501684,1
1062,9123,1.456971409369843,1
1053,9117,1.4493946205713804,4
1054,9122,1.443451406393453,1
1063,9122,1.435459106409716,1
1057,9123,1.4308159725200915,1
1055,9123,1.4262789166523795,2
1047,9135,1.4256450809099857,2
1056,9124,1.423746146282712,2
1054,9121,1.4208016223788715,2
1064,9124,1.418670527573623,2
1047,9127,1.4179828804169854,1
1057,9125,1.4055768886962023,1
1056,9118,1.403890042778583,1
1046,9136,1.4033174341614676,2
1055,9117,1.4011291160687525,2
1052,9119,1.392413689401568,1
1057,9118,1.3879191066212688,5
1064,9122,1.3820484615469495,1
1054,9119,1.3812151334052858,2
1060,9120,1.3779145716436672,1
1052,9122,1.3773878496426863,1
1048,9127,1.3759328331535607,2
1055,9118,1.3748418970027003,6
1063,9123,1.373996091792209,1
1053,9116,1.3688128221280873,3
1054,9116,1.360309685620068,2
1047,9129,1.354065849087302,1
1052,9118,1.3504532957295023,4
1051,9121,1.3504464461882342,2
1051,9117,1.349153187675234,4
1064,9125,1.348525964092474,1
1054,9118,1.3452304730682811,3
1065,9121,1.3420891512715232,3
1048,9121,1.3394477748000273,1
1054,9125,1.3386492009008522,1
1053,9118,1.3370644271141965,8
1061,9118,1.3329458532832044,7
1062,9118,1.33008315805866,2
1060,9122,1.328996256634397,3
1059,9118,1.3284679006027744,2
1066,9121,1.328251957437446,2
1062,9124,1.3273812714855597,1
1052,9123,1.3271824285931533,5
1056,9120,1.3261557549429777,3
1049,9121,1.326153349186215,1
1067,9119,1.3251684896483116,1
1047,9136,1.3211044575137818,1
1054,9117,1.3202859936666378,3
1057,9117,1.319120874833579,6
1055,9120,1.3162335562172136,2
1048,9120,1.3104199359492363,1
1065,9122,1.3061200912804218,1
1053,9127,1.305440587507273,1
1062,9122,1.3043608726013756,2
1053,9119,1.2978711340705165,2
1064,9121,1.2973676373254224,1
1053,9125,1.2941446335567763,2
1051,9118,1.2926048695835475,3
1047,9134,1.280333646716701,3
1054,9124,1.2790017626313446,1
1052,9117,1.2788732206748368,7
1064,9120,1.277086775616534,1
1048,9126,1.2721210411395596,1
1062,9120,1.2676550497546404,1
1061,9119,1.2610336771915798,3
1065,9120,1.2585731481634723,1
1063,9126,1.2542813623489835,1
1051,9128,1.2465903442889015,1
1051,9127,1.2461458610662017,1
1056,9119,1.2457520228649994,3
1050,9119,1.2449833977859195,3
1046,9129,1.240443051990936,2
1054,9126,1.2404392486389417,1
1059,9119,1.238387206200625,1
1051,9119,1.231535448844074,5
1049,9120,1.230141537005546,1
1046,9132,1.2301080102662632,3
1052,9116,1.2112649647993334,2
1048,9117,1.2088687212802642,1
1061,9125,1.2060763053147168,1
1052,9124,1.2042398505916656,1
1064,9119,1.1820275891166458,1
1063,9120,1.178961321049954,2
1050,9121,1.1760964156276836,1
1049,9131,1.1646026554915723,1
1059,9127,1.1578309424178417,1
1048,9122,1.1350368056470101,1
1046,9131,1.1308637883952597,1
