osmid,y,x,street_count,elevation,highway,railway,ref
26122673,41.1816016,-8.6211293,3,94.0,,,
26122679,41.1817809,-8.6223813,3,94.0,motorway_junction,,
26122700,41.1802373,-8.6229097,3,95.0,,,
62890972,41.1971414,-8.6682248,4,73.0,,,
62890974,41.1967558,-8.6686416,3,73.0,,,
62890975,41.1966176,-8.6689483,3,68.0,,,
62890977,41.1966317,-8.669938,3,68.0,,,
62890979,41.1973876,-8.6714767,4,64.0,,,
62890984,41.1981564,-8.6733125,4,57.0,,,
62890985,41.1986975,-8.673889,3,57.0,,,
62890991,41.2000948,-8.6756905,1,46.0,,,
62892598,41.1958462,-8.6662198,4,72.0,,,
62897093,41.1997743,-8.666857,3,66.0,,,
62913389,41.1996019,-8.6716464,4,60.0,,,
62913390,41.1992045,-8.6717048,3,60.0,,,
62913393,41.1986111,-8.6717914,3,60.0,,,
62915435,41.1899203,-8.6751636,4,42.0,,,
62915441,41.1912961,-8.6771925,3,27.0,,,
62915442,41.1916867,-8.6772559,4,32.0,,,
62915443,41.1919098,-8.6771504,3,32.0,,,
62915449,41.1966327,-8.6731264,4,63.0,,,
62917390,41.1959485,-8.6719032,3,64.0,,,
62917391,41.1960361,-8.6715247,3,64.0,,,
62917393,41.1964405,-8.6699415,4,68.0,,,
62921657,41.1927306,-8.6684003,4,68.0,,,
62924606,41.2004869,-8.6688347,3,42.0,,,
62924617,41.1976852,-8.6689912,3,68.0,,,
62929803,41.1926577,-8.6701252,3,62.0,crossing,,
62929807,41.1960427,-8.6725556,3,64.0,,,
62941777,41.1940022,-8.6608908,4,78.0,,,
62944785,41.1924219,-8.6678404,3,68.0,,,
62944787,41.1927708,-8.6672903,4,68.0,,,
62944790,41.193186,-8.667114,4,68.0,,,
62946572,41.2023457,-8.6638362,3,49.0,,,
62946573,41.1989751,-8.6637747,3,71.0,,,
62950557,41.1975084,-8.670045,1,68.0,,,
62952208,41.1994637,-8.6691942,3,55.0,,,
62952212,41.199473,-8.6685458,3,66.0,,,
62953033,41.1987444,-8.6690824,1,55.0,,,
62954778,41.1964561,-8.6681844,1,73.0,,,
62966114,41.2004384,-8.673592,4,36.0,,,
62966116,41.1998933,-8.6723307,3,60.0,,,
64639473,41.2003694,-8.6657649,3,73.0,,,
64639474,41.2005838,-8.6657981,3,73.0,,,
64639480,41.2016843,-8.6638126,3,56.0,,,
64640471,41.2008949,-8.6606407,3,74.0,,,
64640472,41.2011089,-8.6608843,3,74.0,,,
64640473,41.2012731,-8.6613627,3,74.0,,,
64640479,41.2007082,-8.6629807,3,56.0,,,
64640480,41.2004075,-8.6654649,3,73.0,,,
64641283,41.1998829,-8.6657199,3,73.0,,,
64644549,41.1994193,-8.6627054,3,71.0,,,
64644554,41.2002651,-8.6606876,3,74.0,,,
64644555,41.2004975,-8.6601776,3,67.0,,,
64646401,41.2011249,-8.6656605,3,73.0,,,
64646843,41.201632,-8.6652707,3,73.0,,,
64647236,41.2006465,-8.6657761,3,73.0,,,
64647242,41.2010352,-8.6654709,3,73.0,,,
64647808,41.2006421,-8.6668242,1,57.0,,,
64648108,41.2020504,-8.6675735,3,57.0,,,
64648110,41.2020843,-8.6677006,3,43.0,,,
64648929,41.2021098,-8.6683807,3,43.0,,,
64648931,41.2018676,-8.6691882,3,42.0,,,
64648932,41.2020161,-8.6692225,3,42.0,,,
64648936,41.204378,-8.6664414,3,29.0,,,
64649388,41.2034523,-8.6676294,4,43.0,,,
64650619,41.2025243,-8.6684511,1,43.0,,,
64652362,41.2013593,-8.6699636,3,42.0,,,
64653261,41.2008735,-8.6703678,1,42.0,,,
64653265,41.2000465,-8.6716343,3,66.0,,,
64653634,41.2017384,-8.6703211,1,42.0,,,
64653636,41.2013115,-8.6716499,3,66.0,,,
64653702,41.2003096,-8.6709825,3,66.0,,,
64653705,41.2015929,-8.6708549,3,66.0,,,
64654984,41.2016127,-8.6716586,3,66.0,,,
64655071,41.2013635,-8.6735986,3,36.0,,,
64655073,41.2010479,-8.6716475,3,66.0,,,
64655296,41.2009618,-8.6734192,3,36.0,,,
64655298,41.2005292,-8.6716469,3,66.0,,,
64655936,41.2004674,-8.6730922,1,36.0,,,
64655938,41.2001895,-8.6723229,3,66.0,,,
64656399,41.2015907,-8.6737842,3,36.0,,,
64656405,41.1999827,-8.6741197,3,57.0,,,
64658270,41.2005786,-8.6791475,3,37.0,,,
64658273,41.2012795,-8.6784286,3,37.0,,,
64660155,41.1918724,-8.6696285,3,62.0,crossing,,
64661163,41.1915507,-8.6660976,3,73.0,,,
64661170,41.1899038,-8.6699774,3,69.0,,,
64661180,41.18911,-8.6750594,4,46.0,,,
64661182,41.1879924,-8.6757526,3,46.0,,,
64661184,41.1877913,-8.6757862,3,46.0,,,
64661186,41.1874234,-8.6757433,3,45.0,,,
64661188,41.1870192,-8.6760814,3,45.0,,,
64661190,41.1866438,-8.6770631,3,45.0,,,
64661315,41.187144,-8.6757687,3,45.0,,,
64661316,41.1873061,-8.6756279,4,45.0,,,
64661318,41.1876347,-8.6755015,3,46.0,,,
64661319,41.1882517,-8.6752977,3,46.0,,,
64661776,41.1935787,-8.6726774,1,57.0,,,
64661777,41.193881,-8.6729317,3,53.0,,,
64661778,41.1950792,-8.674615,3,53.0,,,
64661878,41.1940962,-8.6725045,3,58.0,,,
64661879,41.1953434,-8.674313,3,53.0,,,
64662075,41.1950225,-8.6733115,1,53.0,,,
64662077,41.1955887,-8.674005,3,53.0,,,
64662143,41.1942819,-8.672158,3,58.0,,,
64662144,41.195784,-8.6737973,3,53.0,,,
64662481,41.1945192,-8.6717066,3,58.0,,,
64662482,41.1961715,-8.6734969,4,63.0,,,
64663097,41.1928385,-8.6797408,1,20.0,,,
64663108,41.1919228,-8.6773797,3,32.0,,,
64663158,41.1930293,-8.6767405,1,38.0,,,
64663160,41.1921667,-8.6775582,3,32.0,,,
64663666,41.1943276,-8.6771222,3,56.0,,,
64663668,41.1941068,-8.6765436,3,53.0,,,
64663669,41.1940272,-8.6764144,3,53.0,,,
64663675,41.1948239,-8.6753027,3,53.0,,,
64663677,41.1948763,-8.6748426,3,53.0,,,
64663942,41.1962297,-8.6777026,3,58.0,,,
64663948,41.1949312,-8.6761318,3,53.0,,,
64664138,41.1953485,-8.6759801,3,53.0,,,
64664144,41.195761,-8.6775711,3,56.0,,,
64664444,41.1955743,-8.6758492,3,53.0,,,
64664445,41.1959673,-8.6772688,1,58.0,,,
64664874,41.1974215,-8.679098,1,58.0,,,
64664875,41.197108,-8.6790845,3,58.0,,,
64664876,41.1966107,-8.6790845,3,58.0,,,
64664877,41.1964808,-8.6789234,3,58.0,,,
64664880,41.1961621,-8.6784028,3,58.0,,,
64664881,41.1961685,-8.6779908,4,58.0,,,
64664889,41.1955258,-8.6740996,3,53.0,,,
64665567,41.1969446,-8.6784106,3,58.0,,,
64665929,41.1969214,-8.6775009,3,58.0,,,
64665932,41.1969603,-8.67663,3,58.0,,,
64665935,41.1969145,-8.6750372,3,58.0,,,
64665936,41.196704,-8.6746509,4,63.0,,,
64665937,41.1963889,-8.6740813,3,63.0,,,
64666404,41.1956325,-8.6778277,1,56.0,,,
64666406,41.196926,-8.6780242,3,58.0,,,
64666560,41.1962776,-8.6774456,3,58.0,,,
64666813,41.1959314,-8.6751566,3,58.0,,,
64667442,41.1977444,-8.6773127,1,58.0,,,
64667444,41.1969393,-8.6772949,3,58.0,,,
64667649,41.1977637,-8.6767119,1,58.0,,,
64667830,41.1972461,-8.6762467,1,58.0,,,
64668005,41.1974574,-8.6763043,1,58.0,,,
64668006,41.1974408,-8.6759382,3,58.0,,,
64668915,41.2034226,-8.6631177,3,49.0,,,
64668918,41.2032597,-8.6637035,3,49.0,,,
64669021,41.2030993,-8.6635393,3,49.0,,,
64669540,41.2028784,-8.6636828,3,49.0,,,
64669640,41.2033504,-8.6646254,3,55.0,,,
64669714,41.2030443,-8.6641001,3,49.0,,,
64669751,41.2036081,-8.6651116,3,55.0,,,
64669973,41.2039696,-8.6579091,3,61.0,,,
87006477,41.2029033,-8.6640022,3,49.0,,,
87006487,41.2032437,-8.6639727,3,49.0,,,
87009269,41.2103117,-8.6771388,4,55.0,,,
87009274,41.209641,-8.6756389,3,55.0,,,
87009277,41.2097849,-8.6732137,3,40.0,,,
87009296,41.2050055,-8.6670648,3,11.0,,,
87020476,41.1900299,-8.6745037,3,56.0,,,
87041454,41.1898374,-8.674503,3,56.0,,,
87057062,41.1903634,-8.6746934,3,56.0,,,
96497243,41.1778207,-8.6563346,3,73.0,,,
96497255,41.1757606,-8.6708931,4,46.0,,,
105748388,41.1923302,-8.6645719,3,80.0,,,
105750022,41.1944397,-8.6617066,3,78.0,,,
111508341,41.1736164,-8.6884308,3,8.0,,,
111508660,41.1747167,-8.6889019,3,8.0,,,
111508662,41.1740417,-8.6888179,4,8.0,crossing,,
111619640,41.1735769,-8.689151,3,8.0,,,
111622360,41.1764537,-8.6911853,3,0.0,,,
111622361,41.1739647,-8.6892325,4,8.0,crossing,,
111627979,41.1765964,-8.6891266,4,9.0,crossing,,
111632278,41.1793746,-8.6656729,3,68.0,,,
111632279,41.1793719,-8.6658958,3,68.0,,,
111633569,41.1774721,-8.6577885,3,73.0,,,
111635403,41.178011,-8.6560048,3,78.0,,,
111636742,41.1783026,-8.655249,3,78.0,,,
111636743,41.1783165,-8.6552994,3,78.0,,,
111641067,41.180656,-8.6499464,3,82.0,,,
111641071,41.1787218,-8.6535155,3,83.0,,,
112613574,41.1809482,-8.6207465,3,98.0,,,
112627997,41.1817841,-8.6193071,3,89.0,,,
112628000,41.1806614,-8.6219016,3,95.0,,,
112628017,41.1839497,-8.6409582,3,92.0,,,
112628020,41.1843166,-8.6416622,5,92.0,,,
112628025,41.1842739,-8.6430707,4,90.0,,,
112628026,41.1827622,-8.6462188,4,85.0,,,
112628027,41.1822039,-8.6472289,3,85.0,,,
112629313,41.1803609,-8.6228988,3,95.0,,,
