rank,node,lat,lon,betweenness,betweenness_method
1,1428182504,41.3134944,-8.7198205,0.40911503092995816,exact
2,1428182584,41.3165549,-8.7254352,0.2986067657798231,exact
3,1460476866,41.3140735,-8.7316411,0.29425043365306175,exact
4,1428182577,41.3163796,-8.7275099,0.2822031951715999,exact
5,1428182575,41.3163785,-8.727904,0.2809042161374383,exact
6,1428182506,41.3138518,-8.7325198,0.2622115910116988,exact
7,1428182582,41.316443,-8.728168,0.2621957498039651,exact
8,1428182581,41.3164289,-8.7287569,0.262053178934362,exact
9,13620771069,41.312994,-8.7217413,0.24761391808511482,exact
10,1460394662,41.3129361,-8.7195599,0.2283985331041639,exact
