cell_x,cell_y,mean_circuity,n_pairs
1047,9147,1.6827127249139224,11
1044,9149,1.659679088986063,4
1044,9148,1.5611451123732345,2
1050,9145,1.4086305555281942,2
1045,9145,1.4001743528200281,3
1048,9148,1.3961041631541367,8
1046,9145,1.3713280656597582,1
1043,9145,1.364236045713897,7
1044,9147,1.3570044648986086,9
1047,9148,1.3455353071621787,9
1047,9149,1.3447263130459872,15
1046,9149,1.3331118930151193,5
1046,9147,1.3324559999870602,16
1047,9146,1.3307744203898209,13
1046,9146,1.3148543726018027,5
1044,9146,1.297148681309746,12
1045,9146,1.291588098565319,10
1043,9148,1.2841042711014623,1
1049,9146,1.2835066433826146,3
1046,9148,1.2806596594171717,8
1043,9147,1.2784353669979762,12
1048,9146,1.2740628332245694,6
1044,9145,1.2708172446076096,2
1048,9145,1.2636133882563039,1
1045,9147,1.2574259664920302,8
1049,9145,1.255252223072947,8
1043,9146,1.2195140797607609,9
1048,9147,1.217885897027424,7
1045,9148,1.1789783696644414,3
