u,v,key,osmid,lanes,surface,ref,highway,oneway,reversed,length,grade,grade_abs,elevation_change,name,maxspeed,junction,lit,smoothness,bridge,service,sidewalk,access,incline,tactile_paving,width,footway
249893147,319991651,0,14201562,2,asphalt,EN 13,primary,False,False,198.98976951856645,0.0,0.0,0.0,,,,,,,,,,,,,
249893147,1460394769,0,222180813,,asphalt,EN 13-2,secondary,False,False,273.45826304335293,-0.018284325894395523,0.018284325894395523,-5.0,Rua da Estação,50,,,,,,,,,,,
249893147,269535343,0,"[1323690477, 1323690478]","['2', '3']",asphalt,EN 13,primary,False,True,247.17837753769095,0.004045661315369364,0.004045661315369364,1.0,,50,,,,,,,,,,,
269535105,1486919256,0,219535125,2,asphalt,EN 13,primary,False,False,12.142960835684743,0.0,0.0,0.0,,,roundabout,,,,,,,,,,
269535108,1486919256,0,219535125,2,asphalt,EN 13,primary,False,True,22.355345253553992,0.0,0.0,0.0,,,roundabout,,,,,,,,,,
269535343,249893147,0,"[1323690477, 1323690478]","['2', '3']",asphalt,EN 13,primary,False,False,247.17837753769095,-0.004045661315369364,0.004045661315369364,-1.0,,50,,,,,,,,,,,
319991651,4359281704,0,14201562,2,asphalt,EN 13,primary,False,False,187.3833355204011,-0.01600996156711801,0.01600996156711801,-3.0,,,,,,,,,,,,,
319991651,249893147,0,14201562,2,asphalt,EN 13,primary,False,True,198.98976951856645,0.0,0.0,0.0,,,,,,,,,,,,,
914326556,914327211,0,77740795,1,asphalt,EN 13,primary,False,False,45.71624446152879,0.0,0.0,0.0,,50,,,,,,,,,,,
914326556,914326685,0,219535399,2,asphalt,EN 13,primary,False,False,23.610047098433547,0.0,0.0,0.0,,50,roundabout,no,,,,,,,,,
914326556,1487705484,0,1349836823,2,asphalt,EN 13,primary,False,True,7.882236505029166,0.0,0.0,0.0,,50,roundabout,no,,,,,,,,,
914326592,914326803,0,219535399,2,asphalt,EN 13,primary,False,False,23.60968029149367,-0.33884406316515514,0.33884406316515514,-8.0,,50,roundabout,no,,,,,,,,,
914326592,1487705422,0,219535399,2,asphalt,EN 13,primary,False,True,7.839742460671744,0.0,0.0,0.0,,50,roundabout,no,,,,,,,,,
914326685,914327211,0,169055243,1,asphalt,EN 13,primary,False,True,46.90202586644355,0.0,0.0,0.0,,50,,,,,,,,,,,
914326685,1487705416,0,219535399,2,asphalt,EN 13,primary,False,False,7.858616047896771,0.0,0.0,0.0,,50,roundabout,no,,,,,,,,,
914326685,914326556,0,219535399,2,asphalt,EN 13,primary,False,True,23.610047098433544,0.0,0.0,0.0,,50,roundabout,no,,,,,,,,,
914326803,914326592,0,219535399,2,asphalt,EN 13,primary,False,True,23.60968029149367,0.33884406316515514,0.33884406316515514,8.0,,50,roundabout,no,,,,,,,,,
914326803,1802287902,0,1349836823,2,asphalt,EN 13,primary,False,False,7.8521715377169405,0.0,0.0,0.0,,50,roundabout,no,,,,,,,,,
914327211,13041426264,0,14201562,2,asphalt,EN 13,primary,False,True,13.189587021454757,0.0,0.0,0.0,,,,,,,,,,,,,
914327211,914326556,0,77740795,1,asphalt,EN 13,primary,False,True,45.71624446152879,0.0,0.0,0.0,,50,,,,,,,,,,,
914327211,914326685,0,169055243,1,asphalt,EN 13,primary,False,False,46.90202586644355,0.0,0.0,0.0,,50,,,,,,,,,,,
1428182433,3016736622,0,129447248,,,,residential,False,False,156.23615908757898,-0.03840340184397819,0.03840340184397819,-6.0,Rua Fernando Pessoa,,,,,,,,,,,,
1428182433,1428182437,0,129447248,,,,residential,False,True,72.76411193121676,0.0,0.0,0.0,Rua Fernando Pessoa,,,,,,,,,,,,
1428182433,2298908210,0,"[220801352, 220801353]",,,,"['service', 'footway']",False,"[False, True]",138.63740590104854,-0.04327836315894757,0.04327836315894757,-6.0,Travessa Fernando Pessoa,20,,,,,,,,,,,
1428182437,2297808419,0,221138844,,sett,,residential,False,True,28.134778452952347,0.0,0.0,0.0,Rua de Londres,,,,,,,,,,,,
1428182437,1428182433,0,129447248,,,,residential,False,False,72.76411193121676,0.0,0.0,0.0,Rua Fernando Pessoa,,,,,,,,,,,,
1428182439,2298908210,0,129447259,,,,residential,False,True,71.91092992307067,0.0,0.0,0.0,Rua Bartolomeu Dias,,,,,,,,,,,,
1428182439,13640879278,0,910469235,,,,residential,False,False,85.57532137234453,0.07011367183645806,0.07011367183645806,6.0,Avenida Atlântica,,,,,,,,,,,,
