osmid,y,x,street_count,elevation,highway
249893147,41.316491,-8.7100013,4,40.0,
269535105,41.3191709,-8.7115841,3,52.0,
269535108,41.3189252,-8.7114252,3,52.0,
269535343,41.3185618,-8.7110404,3,41.0,
319991651,41.3148864,-8.7089464,3,40.0,
914326556,41.3050191,-8.7022692,3,58.0,
914326592,41.3046598,-8.7023203,3,58.0,
914326685,41.3049257,-8.7025061,3,58.0,
914326803,41.3047531,-8.7020834,3,50.0,
914327211,41.3053363,-8.7026168,3,58.0,
1428182433,41.30692,-8.7371424,3,9.0,
1428182437,41.3070694,-8.7362961,3,9.0,
1428182439,41.3078294,-8.7385158,3,3.0,
1428182441,41.3080627,-8.7372205,3,9.0,
1428182442,41.3082461,-8.7362338,3,9.0,
1428182450,41.3091668,-8.7376137,3,9.0,
1428182464,41.3102261,-8.7361403,4,9.0,
1428182479,41.3113262,-8.7390788,4,9.0,
1428182483,41.3117194,-8.7380908,3,9.0,
1428182493,41.3126133,-8.7360387,4,9.0,
1428182504,41.3134944,-8.7198205,5,29.0,
1428182506,41.3138518,-8.7325198,3,18.0,
1428182509,41.3138556,-8.7203062,3,29.0,
1428182510,41.3139116,-8.7359812,4,9.0,
1428182526,41.3143255,-8.7206037,3,29.0,
1428182531,41.3145278,-8.7359129,4,9.0,
1428182555,41.3150874,-8.7358516,4,6.0,
1428182561,41.3152754,-8.7213359,3,28.0,
1428182563,41.3154308,-8.7358105,1,6.0,
1428182575,41.3163785,-8.727904,3,21.0,
1428182577,41.3163796,-8.7275099,3,21.0,
1428182581,41.3164289,-8.7287569,3,21.0,
1428182582,41.316443,-8.728168,3,21.0,
1428182584,41.3165549,-8.7254352,3,25.0,
1428182589,41.3167548,-8.7251034,3,22.0,
1428182605,41.318212,-8.7232573,3,20.0,
1460394511,41.3081767,-8.718469,3,34.0,
1460394512,41.3083327,-8.7184996,3,34.0,
1460394571,41.3102349,-8.7353171,3,17.0,
1460394572,41.3102362,-8.7313387,3,20.0,
1460394577,41.3102362,-8.7380114,3,9.0,
1460394582,41.3102376,-8.7321273,3,20.0,
1460394583,41.3102389,-8.733914,3,17.0,
1460394587,41.3102389,-8.7346351,3,17.0,
1460394593,41.3102402,-8.7328644,3,20.0,
1460394599,41.3102456,-8.7373294,3,9.0,
1460394603,41.3102656,-8.7308219,3,26.0,
1460394606,41.3103277,-8.7302835,3,26.0,
1460394612,41.310349,-8.7301481,3,26.0,
1460394624,41.3106203,-8.7284592,3,24.0,
1460394627,41.3106991,-8.7279482,3,24.0,
1460394637,41.3108299,-8.7271579,3,24.0,
1460394640,41.3109433,-8.7267743,3,26.0,
1460394651,41.312137,-8.719088,3,31.0,
1460394654,41.3124497,-8.7192046,3,31.0,
1460394655,41.3126255,-8.7227834,3,30.0,
1460394662,41.3129361,-8.7195599,3,29.0,
1460394768,41.3148957,-8.712577,3,35.0,
1460394769,41.3149271,-8.7125206,3,35.0,
1460474682,41.3055573,-8.7340008,3,17.0,
1460474702,41.3056791,-8.7355048,3,9.0,
1460474980,41.3062006,-8.7302639,3,35.0,
1460474997,41.3061965,-8.7322163,3,26.0,
1460475629,41.3071717,-8.7302684,3,30.0,
1460475649,41.3072679,-8.7339567,3,15.0,crossing
1460475668,41.3073554,-8.7326991,3,23.0,
1460475704,41.3078223,-8.7191635,3,42.0,
1460475707,41.3078543,-8.7295332,3,30.0,
1460475753,41.3082846,-8.7313475,3,23.0,
1460475754,41.3083012,-8.7321823,3,23.0,
1460475755,41.3083154,-8.7327311,3,23.0,
1460475769,41.3087378,-8.7150649,1,30.0,
1460475783,41.3090073,-8.7302827,4,26.0,
1460475806,41.3092723,-8.7268924,3,28.0,
1460475837,41.3094106,-8.7260131,3,28.0,
1460475849,41.3095407,-8.727615,3,28.0,
1460475887,41.3099979,-8.7275578,3,28.0,
1460475895,41.3100115,-8.7141214,3,32.0,
1460475936,41.3105304,-8.7289622,3,24.0,
1460476023,41.3107297,-8.7144753,3,28.0,
1460476116,41.3112235,-8.7148669,3,32.0,
1460476137,41.3110523,-8.7303962,3,21.0,
1460476143,41.3112585,-8.7311378,3,21.0,
1460476146,41.3113343,-8.7291902,3,21.0,
1460476147,41.3112958,-8.7151901,3,32.0,
1460476175,41.3113512,-8.7317699,1,18.0,
1460476177,41.3113908,-8.7305505,3,21.0,
1460476179,41.3114324,-8.7118099,3,35.0,
1460476251,41.3114838,-8.7137163,3,28.0,
1460476260,41.3115388,-8.7318177,3,18.0,
1460476277,41.3115857,-8.7312386,3,21.0,
1460476280,41.3116029,-8.7383867,3,9.0,
1460476284,41.3116645,-8.7131986,3,28.0,
1460476319,41.3117973,-8.7313037,1,18.0,
1460476322,41.3118343,-8.7378405,3,9.0,
1460476325,41.3118265,-8.7318874,1,18.0,
1460476378,41.3121487,-8.715681,1,32.0,
1460476441,41.3121885,-8.7370135,3,9.0,
1460476446,41.3122043,-8.717396,3,30.0,
1460476472,41.3122663,-8.7125369,3,28.0,
1460476690,41.3124086,-8.7122065,4,35.0,
1460476695,41.3125358,-8.7187863,3,29.0,
1460476698,41.312929,-8.7370741,3,9.0,
1460476703,41.3130319,-8.7188335,3,29.0,
1460476705,41.3129836,-8.7174277,1,21.0,
1460476706,41.313082,-8.7181119,1,21.0,
1460476708,41.3130851,-8.7371039,3,9.0,
1460476709,41.3130966,-8.7377995,3,8.0,
1460476768,41.3132822,-8.7371371,3,9.0,
1460476780,41.3135994,-8.7390097,3,8.0,
1460476782,41.3137303,-8.7137237,1,33.0,
1460476783,41.3137486,-8.7375376,3,8.0,
