rank,node,lat,lon,betweenness,betweenness_method
1,2265527528,40.8921138,29.3758674,0.25988158835974007,exact
2,3465548866,40.8916735,29.3804665,0.2508485152884952,exact
3,3465416750,40.8913046,29.3795445,0.21995951478623502,exact
4,3465416752,40.8915789,29.3795142,0.21037091152610993,exact
5,3465416748,40.8910639,29.3785282,0.2035219091974491,exact
6,3465548845,40.8916412,29.3798105,0.20103343835136903,exact
7,3465548843,40.8916561,29.3801124,0.19874282757256137,exact
8,3465416749,40.8912151,29.3792072,0.18528834299803662,exact
9,3465556056,40.8916851,29.3807016,0.18229761198118807,exact
10,3465526419,40.8909854,29.3781574,0.16756464697197998,exact
