osmid,y,x,street_count,elevation,highway
1841498435,40.8887288,29.3779796,4,141.0,
1841498444,40.8892013,29.380761,3,149.0,
1841498451,40.8895261,29.3739718,3,127.0,
1841498459,40.8897734,29.3744218,3,128.0,
1841498466,40.8901151,29.3748488,3,128.0,
1841498470,40.8901975,29.3748257,3,128.0,
1841498491,40.8916588,29.383134,3,164.0,
1841498494,40.8918621,29.3832913,4,170.0,
1841498497,40.8920418,29.3742038,3,134.0,
1841498502,40.8921862,29.3759926,3,137.0,
1841498507,40.892372,29.3765198,3,137.0,
1841498508,40.8924161,29.37678,4,137.0,
1841498523,40.8926858,29.3798182,3,164.0,
1841498548,40.8936204,29.3733355,3,134.0,
1841498567,40.8945751,29.3729032,3,126.0,
1901802883,40.8888568,29.3785342,4,141.0,
1901802911,40.8893,29.3769937,1,135.0,
1901802918,40.8898544,29.3775407,1,147.0,
2230475369,40.8891729,29.3805518,3,149.0,
2230475387,40.8903901,29.3801695,1,158.0,
2230475467,40.8954277,29.3859013,3,187.0,
2230475470,40.8956536,29.385768,3,187.0,
2230475555,40.897993,29.3794272,3,141.0,
2265527318,40.8894817,29.3776903,6,141.0,
2265527328,40.8896632,29.3768544,3,141.0,
2265527526,40.8920765,29.3748493,1,134.0,
2265527528,40.8921138,29.3758674,4,137.0,
2265527531,40.8921352,29.3743509,3,134.0,
2265527572,40.8927757,29.3736702,4,134.0,crossing
2265527582,40.8929285,29.3743302,3,134.0,
2265527584,40.8929384,29.3735975,3,134.0,
2265527592,40.8931213,29.3780327,3,146.0,
2265527620,40.8936665,29.3735316,3,134.0,
2265527625,40.8937155,29.3737449,3,134.0,
2265527634,40.8937581,29.3739351,3,131.0,
2265527635,40.8937727,29.3739985,1,131.0,
2265527740,40.8946875,29.3733385,3,131.0,crossing
2265527761,40.8948408,29.3739529,3,131.0,
2265527770,40.8948738,29.3775527,3,137.0,
2265527786,40.8950111,29.3746491,3,131.0,
2265527788,40.8950183,29.3785766,1,137.0,
2265527790,40.8950165,29.3747408,3,131.0,
2265527793,40.8950511,29.3731725,1,131.0,
2265527809,40.8951861,29.3737219,1,131.0,
2265527814,40.8951858,29.3753886,3,135.0,
2265527911,40.8960165,29.3755313,3,132.0,
2265527924,40.8962258,29.3757725,3,132.0,
2355658526,40.8889853,29.3791571,4,141.0,
2355658528,40.8892485,29.3790576,1,141.0,
2355658529,40.88953,29.3779486,3,141.0,
2355658531,40.8900418,29.3801334,3,158.0,
2355658532,40.8917247,29.3770573,3,137.0,
2355658533,40.8917484,29.3782626,3,146.0,
2355658535,40.8925266,29.3791128,3,146.0,
2355672208,40.889797,29.3790228,4,147.0,
3465378544,40.8920628,29.3779239,1,146.0,
3465388638,40.8946359,29.3748939,3,131.0,
3465388639,40.8946784,29.3750764,1,135.0,
3465407419,40.8942389,29.3752126,3,135.0,
3465407420,40.8942707,29.375299,3,135.0,
3465407450,40.8926303,29.3771685,4,146.0,
3465407476,40.8916296,29.3752013,5,141.0,
3465407483,40.8920832,29.3758143,3,137.0,
3465407484,40.8921502,29.3753293,4,137.0,
3465407489,40.8917638,29.3747224,4,134.0,
3465407492,40.8924412,29.3756095,3,137.0,
3465416742,40.8894698,29.378966,1,141.0,
3465416744,40.8897396,29.3772415,4,147.0,
3465416745,40.8894088,29.3773764,3,141.0,
3465416746,40.8906009,29.3764624,3,141.0,
3465416747,40.8908273,29.3774192,4,147.0,
3465416748,40.8910639,29.3785282,4,147.0,
3465416749,40.8912151,29.3792072,3,158.0,
3465416750,40.8913046,29.3795445,4,158.0,
3465416752,40.8915789,29.3795142,3,158.0,
3465416756,40.8917258,29.3811604,3,164.0,
3465416781,40.8917934,29.381568,3,170.0,
3465416784,40.8916408,29.3815316,3,164.0,
3465416792,40.8915867,29.3813239,3,164.0,
3465451502,40.8897804,29.3772206,1,147.0,
3465451503,40.8905365,29.377532,3,147.0,
3465451508,40.8898812,29.378987,3,147.0,
3465451515,40.890202,29.3776782,3,147.0,
3465451516,40.8902163,29.3777348,1,147.0,
3465460845,40.8933873,29.3752939,3,137.0,
3465460848,40.8930528,29.3754629,3,137.0,
3465524881,40.8886825,29.3776901,3,141.0,
3465526097,40.8885147,29.3786527,1,141.0,
3465526132,40.8889769,29.379108,3,141.0,
3465526133,40.8884473,29.3793203,1,149.0,
3465526134,40.8885556,29.3792769,3,149.0,
3465526135,40.8885705,29.3793633,1,149.0,
3465526396,40.8901855,29.3788689,3,147.0,
3465526397,40.8902085,29.3789635,1,147.0,
3465526398,40.8903026,29.3786359,1,147.0,
3465526399,40.8903666,29.3788995,1,147.0,
3465526400,40.8905974,29.3785187,1,147.0,
3465526401,40.8906417,29.3787861,1,147.0,
3465526407,40.8902141,29.3791879,1,158.0,
3465526409,40.8900998,29.3792355,3,158.0,
3465526412,40.8908787,29.3789475,1,147.0,
3465526419,40.8909854,29.3781574,3,147.0,
3465526420,40.8906517,29.3778341,1,147.0,
3465529568,40.8914928,29.3761116,3,141.0,
3465529570,40.8917515,29.3771379,1,146.0,
3465529571,40.8924086,29.3767356,3,137.0,
3465529572,40.8919025,29.3769275,1,137.0,
3465548801,40.8921228,29.3781869,1,146.0,
3465548803,40.8917602,29.3783376,1,146.0,
3465548804,40.8918089,29.3780158,1,146.0,
3465548805,40.8918579,29.378297,1,146.0,
3465548806,40.8922188,29.3790378,1,146.0,
3465548807,40.892249,29.3792364,3,164.0,
3465548809,40.8918257,29.3794127,4,164.0,
3465548810,40.8905317,29.3797464,1,158.0,
3465548811,40.890571,29.3799118,3,158.0,
3465548812,40.8906229,29.3798903,3,158.0,
3465548813,40.8906386,29.379954,1,158.0,
3465548814,40.8908421,29.379621,1,158.0,
3465548815,40.8908724,29.3797872,3,158.0,
3465548831,40.8910155,29.379728,4,158.0,
3465548832,40.8910262,29.3797777,1,158.0,
3465548838,40.8919803,29.3793491,3,164.0,
3465548839,40.8919928,29.3793961,1,164.0,
3465548840,40.89184,29.379467,1,164.0,
3465548841,40.8917589,29.380053,1,164.0,
3465548842,40.8917597,29.3800808,3,164.0,
3465548843,40.8916561,29.3801124,4,158.0,
3465548844,40.8917262,29.379789,1,164.0,
3465548845,40.8916412,29.3798105,4,158.0,
3465548846,40.8916121,29.3798219,1,158.0,
3465548847,40.8913389,29.3796427,1,158.0,
3465548850,40.8915103,29.3801893,1,158.0,
3465548851,40.8916198,29.380487,3,158.0,
3465548855,40.8895396,29.3779905,3,141.0,
3465548856,40.8894774,29.3781028,1,141.0,
3465548857,40.8901931,29.3801286,4,158.0,
3465548858,40.8902192,29.3802655,3,158.0,
3465548859,40.8892814,29.3806624,1,149.0,
3465548860,40.8896867,29.3803387,4,158.0,
3465548861,40.8897388,29.3804688,4,158.0,
3465548863,40.890576,29.3805095,4,158.0,
3465548865,40.8906582,29.3808542,3,158.0,
3465548866,40.8916735,29.3804665,4,164.0,
3465548869,40.8910612,29.3807003,3,158.0,
3465548870,40.8903889,29.3804149,3,158.0,
3465548875,40.8903792,29.3805935,3,158.0,
3465548878,40.8894163,29.38132,3,151.0,
3465548879,40.890111,29.3810447,3,158.0,
3465548882,40.8903815,29.3820746,3,164.0,
3465548883,40.8911926,29.3806502,3,158.0,
3465548884,40.8913457,29.381365,3,164.0,
3465548885,40.8916915,29.3808303,3,164.0,
3465548886,40.8902051,29.3814134,3,164.0,
3465548889,40.8913065,29.3811823,3,158.0,
3465548903,40.8908285,29.3818016,1,164.0,
3465548920,40.8905418,29.3821433,3,164.0,
3465556040,40.8933178,29.3811706,3,164.0,
3465556043,40.8931177,29.380697,3,164.0,
3465556044,40.8938898,29.3803682,3,160.0,
3465556045,40.8939885,29.380904,4,160.0,
3465556046,40.893543,29.3805159,3,164.0,
3465556047,40.8928361,29.3801379,3,164.0,
3465556048,40.8926494,29.3799732,4,164.0,
3465556050,40.8928866,29.3806853,4,164.0,
3465556051,40.8930659,29.3805947,3,164.0,
3465556055,40.892411,29.3809125,3,164.0,
3465556056,40.8916851,29.3807016,3,164.0,
3465556057,40.892183,29.3812835,4,170.0,
3465556058,40.8923625,29.382072,4,170.0,
3465556059,40.8928248,29.381887,3,170.0,
3465556060,40.8927112,29.3814109,3,170.0,
3465556061,40.8922529,29.3815906,4,170.0,
3465556062,40.8917636,29.3817657,5,170.0,
3465556066,40.8926157,29.3814483,3,170.0,
3465556067,40.8927579,29.3813881,3,170.0,
3465556070,40.8929343,29.3808932,3,164.0,
3465556072,40.8931879,29.3808358,3,164.0,
3465556074,40.8915006,29.381721,4,164.0,
3465556076,40.8916007,29.3818134,3,164.0,
3465556078,40.8907841,29.3816079,3,164.0,
3465556081,40.8918224,29.3822887,4,170.0,
3465556085,40.8920408,29.3825428,1,170.0,
3465556086,40.8918355,29.3826209,3,170.0,
3465556087,40.8920051,29.3825564,4,170.0,
3465556088,40.8921723,29.3833658,3,182.0,
3465556089,40.8918441,29.3828379,3,170.0,
3465556090,40.8920355,29.3827038,5,170.0,
3465556091,40.8924727,29.3825428,4,170.0,
3465556092,40.8928336,29.3823899,3,170.0,
3465561393,40.8929228,29.3823537,4,170.0,
3465561396,40.8926478,29.3832887,3,170.0,
3465561397,40.8921383,29.3832012,3,170.0,
3465561398,40.8930388,29.3828357,3,170.0,
